Season,Date,site,banding_nest_no.,zoo_aviary_id,life_stage,Band_Number,Current_band,Bands_at_banding,Sex_given,Sexing_method,sex_questioned,sex_verified,Infertile,Weight_g,Head_Bill_Length,Bill,Tarsus,Tarsus_width_plane_of_body,Wing_Length,blood_taken,moult_scored,fat,lice,faecal_sample,photo,new_bands_applied,age_at_banding_days,Colour_band_type,Colour_band_depth_over_metal_band,Colour_bands_fused_with_THF,bander,comments
2024/2025,5/12/2024,te arai,,green,chick,C106961,BM-LY,BM-LY,unknown,,,,NA,54,50.8,18,16.5,2.9,83,,,,,,,,,but,weld 3.5,,,
2024/2025,12/12/2024,te arai,,,chick,C106962,RM-WL,RM-WL,unknown,,,,NA,64,52.5,20,16.5,3.1,106,,,,,,,,,but,weld 3.5,,,
2024/2025,21/12/2024,mangawhai,489,,chick,C106963,YM-KL,YM-KL,unknown,,,,NA,60.1,51.4,17.5,16.4,3,104,,,,,,,,19,but,weld 3.5,,,
2024/2025,21/12/2024,mangawhai,489,,chick,C106964,WM-BK,WM-BK,unknown,,,,NA,60,51.6,19.8,17.2,2.8,114,,,,,,,,20,but,weld 3.5,,,
2024/2025,23/12/2024,te arai,,orange,chick,C106965,RM-YR,RM-YR,unknown,,,,NA,54,50.7,18.2,16,2.9,107,,,,,,,,,but,weld 3.5,,,
2024/2025,23/12/2024,te arai,,black,chick,C106966,BM-BR,BM-BR,unknown,,,,NA,51,50.9,18.9,16.8,3,104,,,,,,,,,but,weld 3.5,,,
2024/2025,27/12/2024,te arai,,purple,chick,C106967,YM-KB,YM-KB,unknown,,,,NA,62,50.3,18.5,20,3.4,111,,,,,,,,,but,weld 3.5,,,
2024/2025,29/12/2024,mangawhai,492,,chick,C106968,KM-RW,KM-RW,unknown,,,,NA,65,50.7,18.8,18.6,2.9,87,,,,,,,,18,but,weld 3.5,,,
2024/2025,29/12/2024,waipu,493,,chick,C106969,LM-WR,LM-WR,unknown,,,,NA,61,50.3,17.2,16,2.8,87,,,,,,,,18,but,weld 3.5,,,
2024/2025,29/12/2024,waipu,493,,chick,C106970,WR-WM,WR-WM,unknown,,,,NA,51,52,19.4,16,2.8,100,,,,,,,,17,but,weld 3.5,,,
2024/2025,31/12/2024,mangawhai,494 ex 492 nest,,chick,C106971,M-LK,M-LK,unknown,,,,NA,45,45.2,16.7,14.1,2.9,78,,,,,,,,19,but,weld 3.5,,,
2024/2025,31/12/2024,mangawhai,495,,chick,C106972,W-LM,W-LM,unknown,,,,NA,63,53.4,19.5,16,3,116,,,,,,,,20,but,weld 3.5,,,
2024/2025,31/12/2024,mangawhai,495,,chick,C106973,WY-RM,WY-RM,unknown,,,,NA,64,52.2,18.6,16.5,3,111,,,,,,,,19,but,weld 3.5,,,
2024/2025,1/01/2025,mangawhai,496,,chick,C106974,BY-BM,BY-BM,unknown,,,,NA,55,49.5,16.9,16.1,3,101,,,,,,,,18,but,weld 3.5,,,
2024/2025,1/01/2025,mangawhai,496,,chick,C106975,YB-KM,YB-KM,unknown,,,,NA,56,51.7,18.7,16.9,3,110,,,,,,,,18,but,weld 3.5,,,
2024/2025,7/01/2025,Papakanui,498,,chick,C106976,M-WL,M-WL,unknown,,,,NA,49,45.8,15.5,15.4,2.9,80,,,,,,,,18,but,weld 3.5,,,
2024/2025,7/01/2025,Papakanui,498,,chick,C106977,RY-LM,RY-LM,unknown,,,,NA,71,52.3,18.5,18.4,3.1,119,,,,,,,,20,but,weld 3.5,,,
2024/2025,14/02/2025,mangawhai,502,,chick,C106978,BM-KW,BM-KW,unknown,,,,NA,55,48.8,17.8,17,3.1,96,,,,,,,,19,but,weld 3.5,,,
